,preferredLabel_x,Reduced_pref_seperate_en,Reduced_pref_com,Reduced_pref_obj,Reduced_pref_amod
11536,use public space as a creative resource,"['No change', 'use public space_obj', 'public space as a creative resource_amod']",No change,use public space_obj,public space as a creative resource_amod
11537,link data between all inland business units,"['link data_com', 'No change', 'inland business units_amod']",link data_com,No change,inland business units_amod
11538,provide security in detention centres,"['detention centres_com', 'provide security_obj', 'No change']",detention centres_com,provide security_obj,No change
11540,research market prices for antiques,"['research market prices_com', 'No change', 'No change']",research market prices_com,No change,No change
11541,perform gross post mortem examination on animals,"['post mortem examination_com', 'perform gross post mortem examination_obj', 'gross post mortem examination on animals_amod']",post mortem examination_com,perform gross post mortem examination_obj,gross post mortem examination on animals_amod
11544,keep grant applicant informed,"['grant applicant_com', 'keep grant applicant_obj', 'No change']",grant applicant_com,keep grant applicant_obj,No change
11545,perform minor repairs to equipment,"['No change', 'perform minor repairs_obj', 'minor repairs to equipment_amod']",No change,perform minor repairs_obj,minor repairs to equipment_amod
11547,prepare specialised meat products,"['meat products_com', 'No change', 'specialised meat products_amod']",meat products_com,No change,specialised meat products_amod
11548,initiate contact with buyers,"['No change', 'initiate contact_obj', 'No change']",No change,initiate contact_obj,No change
11550,chemical aspects of sugar,"['chemical aspects_com', 'No change', 'No change']",chemical aspects_com,No change,No change
11551,control the opening and closing of train doors,"['train doors_com', 'control the opening_obj', 'No change']",train doors_com,control the opening_obj,No change
11555,comply with factory specifications in engine repair,"['factory specifications_com', 'No change', 'No change']",factory specifications_com,No change,No change
11561,carry out hatchery production processes,"['hatchery production processes_com', 'No change', 'No change']",hatchery production processes_com,No change,No change
11562,tend laser beam welding machine,"['laser beam welding machine_com', 'No change', 'No change']",laser beam welding machine_com,No change,No change
11564,monitor end-product drying process,"['end-product drying_com', 'No change', 'drying process_amod']",end-product drying_com,No change,drying process_amod
11565,provide advice on trademarks,"['No change', 'provide advice_obj', 'No change']",No change,provide advice_obj,No change
11569,monitor growth rates of cultivated fish species,"['growth rates_com', 'monitor growth rates_obj', 'cultivated fish species_amod']",growth rates_com,monitor growth rates_obj,cultivated fish species_amod
11571,inspect animal welfare management,"['animal welfare management_com', 'No change', 'inspect animal_amod']",animal welfare management_com,No change,inspect animal_amod
11572,ingredients for ice cream manufacturing,"['ice cream manufacturing_com', 'No change', 'No change']",ice cream manufacturing_com,No change,No change
11575,monitor the production of eggs,"['No change', 'monitor the production_obj', 'No change']",No change,monitor the production_obj,No change
11577,differentiate nuance of colours,"['No change', 'differentiate nuance_obj', 'No change']",No change,differentiate nuance_obj,No change
11579,assist pilot in execution of emergency landing,"['emergency landing_com', 'assist pilot_obj', 'No change']",emergency landing_com,assist pilot_obj,No change
11581,develop optical test procedures,"['test procedures_com', 'No change', 'optical test procedures_amod']",test procedures_com,No change,optical test procedures_amod
11583,use hair removal techniques,"['hair removal techniques_com', 'No change', 'No change']",hair removal techniques_com,No change,No change
11585,meet with clients for legal services,"['No change', 'No change', 'legal services_amod']",No change,No change,legal services_amod
11591,manage mineral processing plant,"['mineral processing plant_com', 'No change', 'No change']",mineral processing plant_com,No change,No change
11593,compile data for navigation publications,"['navigation publications_com', 'No change', 'compile data_amod']",navigation publications_com,No change,compile data_amod
11594,press soap into sheets,"['press soap_com', 'No change', 'No change']",press soap_com,No change,No change
11596,carry out checks of production plant equipment,"['production plant equipment_com', 'carry out checks_obj', 'No change']",production plant equipment_com,carry out checks_obj,No change
11598,advise clients on interior design options,"['design options_com', 'advise clients_obj', 'interior design options_amod']",design options_com,advise clients_obj,interior design options_amod
11601,write an architectural brief,"['No change', 'No change', 'architectural brief_amod']",No change,No change,architectural brief_amod
11602,age alcoholic beverages in vats,"['No change', 'age alcoholic beverages_obj', 'alcoholic beverages in vats_amod']",No change,age alcoholic beverages_obj,alcoholic beverages in vats_amod
11603,attach lift motor cables,"['motor cables_com', 'lift motor cables_obj', 'No change']",motor cables_com,lift motor cables_obj,No change
11604,sport and exercise medicine,"['No change', 'No change', 'No change']",No change,No change,No change
11605,develop a rehabilitation programme,"['rehabilitation programme_com', 'No change', 'No change']",rehabilitation programme_com,No change,No change
11608,explain features in accommodation venue,"['accommodation venue_com', 'explain features_obj', 'No change']",accommodation venue_com,explain features_obj,No change
11610,human dynamics as part of hospitality security,"['hospitality security_com', 'No change', 'human dynamics_amod']",hospitality security_com,No change,human dynamics_amod
11611,define database physical structure,"['No change', 'database physical structure_obj', 'physical structure_amod']",No change,database physical structure_obj,physical structure_amod
11612,first aid for animals,"['No change', 'No change', 'first aid_amod']",No change,No change,first aid_amod
11613,follow control of substances hazardous to health procedures,"['health procedures_com', 'follow control_obj', 'hazardous to health procedures_amod']",health procedures_com,follow control_obj,hazardous to health procedures_amod
